Date,MeanTemperatureF,MeanHumidity ,PrecipitationIn ,CloudCover ,Events,zip
11/26/2013,55,65,0,5,,94107
11/27/2013,55,69,0,5,,94107
11/28/2013,58,64,0,3,,94107
11/29/2013,54,70,0,0,Fog,94107
11/30/2013,54,79,0,3,Fog,94107
12/1/2013,57,66,0,1,,94107
12/2/2013,54,80,T,5,Fog-Rain,94107
12/3/2013,51,69,0,4,,94107
12/4/2013,46,46,0,0,,94107
12/5/2013,43,45,0,0,,94107
12/6/2013,45,65,0.29,6,Rain,94107
12/7/2013,45,63,0.06,3,Rain,94107
12/8/2013,42,53,0,2,,94107
12/9/2013,44,49,0,0,,94107
12/10/2013,43,56,0,2,,94107
12/11/2013,48,60,0,1,,94107
12/12/2013,46,67,0,1,,94107
12/13/2013,47,76,0,2,,94107
12/14/2013,50,61,0,1,,94107
12/15/2013,50,60,0,3,,94107
12/16/2013,54,54,0,5,,94107
12/17/2013,53,60,0,6,,94107
12/18/2013,51,72,0,6,,94107
12/19/2013,53,52,0,2,,94107
12/20/2013,50,50,0,1,,94107
12/21/2013,54,74,0,1,,94107
12/22/2013,54,64,0,1,,94107
12/23/2013,52,64,0,1,,94107
12/24/2013,52,64,0,2,,94107
12/25/2013,53,60,0,0,,94107
12/26/2013,53,63,0,0,,94107
12/27/2013,50,64,0,4,,94107
12/28/2013,52,59,0,0,,94107
12/29/2013,55,43,0,0,,94107
12/30/2013,51,65,0,3,,94107
12/31/2013,50,73,0,3,Fog,94107
1/1/2014,49,69,0,3,,94107
1/2/2014,53,58,0,3,,94107
1/3/2014,54,59,0,3,,94107
1/4/2014,55,65,0,2,Fog,94107
1/5/2014,55,45,0,0,,94107
1/6/2014,52,61,0,5,,94107
1/7/2014,54,70,T,5,Rain,94107
1/8/2014,56,79,0.01,7,,94107
1/9/2014,56,73,T,5,,94107
1/10/2014,54,75,0,4,,94107
1/11/2014,52,83,T,4,,94107
1/12/2014,53,70,0,2,,94107
1/13/2014,55,50,0,1,,94107
1/14/2014,58,45,0,0,,94107
1/15/2014,61,44,0,0,,94107
1/16/2014,60,45,0,0,,94107
1/17/2014,56,53,0,0,,94107
1/18/2014,55,57,0,0,,94107
1/19/2014,55,54,0,1,,94107
1/20/2014,55,60,0,1,,94107
1/21/2014,56,48,0,3,,94107
1/22/2014,55,64,0,1,,94107
1/23/2014,57,51,0,0,,94107
1/24/2014,55,56,0,3,,94107
1/25/2014,57,60,0,2,,94107
1/26/2014,57,65,0,3,,94107
1/27/2014,54,73,0,6,,94107
1/28/2014,59,81,0,7,,94107
1/29/2014,59,89,T,8,Rain,94107
1/30/2014,55,80,T,6,Rain,94107
1/31/2014,54,63,0,1,,94107
2/1/2014,51,63,0,1,,94107
2/2/2014,53,74,0.85,7,Rain,94107
2/3/2014,51,69,0,3,,94107
2/4/2014,50,67,0,4,,94107
2/5/2014,49,73,0.09,6,Rain,94107
2/6/2014,50,90,0.64,8,Rain,94107
2/7/2014,54,92,0.23,8,Rain,94107
2/8/2014,56,92,0.42,8,Rain,94107
2/9/2014,57,92,0.35,8,Rain,94107
2/10/2014,54,93,T,7,Rain,94107
2/11/2014,53,92,0,6,,94107
2/12/2014,51,92,0,6,Fog,94107
2/13/2014,59,87,0,6,Fog,94107
2/14/2014,61,80,0,7,,94107
2/15/2014,57,83,T,7,Rain,94107
2/16/2014,57,68,0.01,3,,94107
2/17/2014,54,69,0,3,,94107
2/18/2014,55,80,0,5,,94107
2/19/2014,57,72,0.01,4,,94107
2/20/2014,56,65,0,4,,94107
2/21/2014,58,61,0,1,,94107
2/22/2014,56,78,0,2,,94107
2/23/2014,55,81,0,3,,94107
2/24/2014,58,65,0,1,,94107
2/25/2014,55,78,0,6,,94107
2/26/2014,57,80,0.43,8,Rain,94107
2/27/2014,58,81,0.22,8,Rain,94107
2/28/2014,59,65,0.74,8,rain,94107
8/29/2013,71,79,0,5,,94063
8/30/2013,74,73,0,2,,94063
8/31/2013,68,72,0,1,,94063
9/1/2013,71,72,0,3,,94063
9/2/2013,70,79,0,4,,94063
9/3/2013,68,71,0,0,,94063
9/4/2013,68,73,0,1,,94063
9/5/2013,68,70,0,3,,94063
9/6/2013,73,60,0,0,,94063
9/7/2013,78,55,0,0,,94063
9/8/2013,68,77,0,0,,94063
9/9/2013,73,77,0,0,,94063
9/10/2013,70,76,0,3,,94063
9/11/2013,67,74,0,2,,94063
9/12/2013,68,78,0,5,,94063
9/13/2013,67,77,0,4,,94063
9/14/2013,62,82,0,5,,94063
9/15/2013,68,77,0,5,,94063
9/16/2013,68,80,0,3,,94063
9/17/2013,64,70,0,3,,94063
9/18/2013,68,63,0,0,,94063
9/19/2013,70,60,0,0,,94063
9/20/2013,67,71,0,5,,94063
9/21/2013,62,81,0,4,Rain,94063
9/22/2013,63,78,0,1,,94063
9/23/2013,68,68,0,0,,94063
9/24/2013,65,66,0,1,,94063
9/25/2013,60,67,0,0,,94063
9/26/2013,64,53,0,0,,94063
9/27/2013,64,50,0,1,,94063
9/28/2013,66,58,0,0,,94063
9/29/2013,65,76,0,1,,94063
9/30/2013,66,73,0,4,,94063
10/1/2013,64,62,0,3,,94063
10/2/2013,63,62,0,1,,94063
10/3/2013,63,45,0,0,,94063
10/4/2013,68,38,0,0,,94063
10/5/2013,68,33,0,0,,94063
10/6/2013,68,41,0,2,,94063
10/7/2013,68,43,0,1,,94063
10/8/2013,62,65,0,2,,94063
10/9/2013,59,66,0,3,,94063
10/10/2013,59,66,0,1,,94063
10/11/2013,58,77,0,4,,94063
10/12/2013,56,79,0,2,,94063
10/13/2013,62,68,0,0,,94063
10/14/2013,64,53,0,0,,94063
10/15/2013,64,44,0,0,,94063
10/16/2013,66,45,0,0,,94063
10/17/2013,66,49,0,0,,94063
10/18/2013,60,67,0,0,,94063
10/19/2013,64,72,0,0,,94063
10/20/2013,58,81,0,1,,94063
10/21/2013,55,83,0,3,,94063
10/22/2013,57,86,0,3,,94063
10/23/2013,56,86,0,5,,94063
10/24/2013,54,82,0,5,,94063
10/25/2013,57,80,0,4,,94063
10/26/2013,60,80,0,0,,94063
10/27/2013,52,81,0,3,,94063
10/28/2013,56,72,0,7,,94063
10/29/2013,55,76,0,5,Rain,94063
10/30/2013,55,74,0,0,,94063
10/31/2013,58,65,0,0,,94063
11/1/2013,60,66,0,0,,94063
11/2/2013,58,71,0,1,,94063
11/3/2013,54,66,0,2,,94063
11/4/2013,55,56,0,0,,94063
11/5/2013,58,49,0,0,,94063
11/6/2013,58,55,0,1,,94063
11/7/2013,60,62,0,1,,94063
11/8/2013,60,79,0,2,Fog,94063
11/9/2013,57,77,0,2,,94063
11/10/2013,54,85,0,3,,94063
11/11/2013,56,80,0,5,,94063
11/12/2013,62,71,0,2,,94063
11/13/2013,62,83,0,1,,94063
11/14/2013,56,80,0,5,,94063
11/15/2013,55,69,0,0,,94063
11/16/2013,56,77,0,1,,94063
11/17/2013,52,82,0,1,,94063
11/18/2013,52,79,0,3,,94063
11/19/2013,54,85,0.03,7,Rain,94063
11/20/2013,55,95,0,7,Rain,94063
11/21/2013,56,70,0,5,Rain,94063
11/22/2013,57,37,0,1,,94063
11/23/2013,54,62,0,0,,94063
11/24/2013,53,76,0,0,,94063
11/25/2013,50,77,0,0,,94063
11/26/2013,53,77,0,2,,94063
11/27/2013,54,76,0,2,,94063
11/28/2013,57,75,0,1,,94063
11/29/2013,54,74,0,0,,94063
11/30/2013,52,80,0,1,,94063
12/1/2013,56,78,0,0,,94063
12/2/2013,54,82,0,2,Fog,94063
12/3/2013,50,66,0,5,,94063
12/4/2013,42,52,0,0,,94063
12/5/2013,41,58,0,0,,94063
12/6/2013,42,80,0.12,5,Rain,94063
12/7/2013,44,65,0.01,3,Rain,94063
12/8/2013,38,72,0,0,,94063
12/9/2013,41,52,0,0,,94063
12/10/2013,42,71,0,0,,94063
12/11/2013,44,67,0,0,,94063
12/12/2013,44,73,0,0,,94063
12/13/2013,45,81,0,1,,94063
12/14/2013,48,74,0,1,Fog,94063
12/15/2013,47,75,0,1,,94063
12/16/2013,50,69,0,2,,94063
12/17/2013,50,73,0,3,,94063
12/18/2013,48,80,0,3,,94063
12/19/2013,50,61,0,2,,94063
12/20/2013,46,52,0,0,,94063
12/21/2013,50,75,0,0,,94063
12/22/2013,52,76,0,2,,94063
12/23/2013,50,72,0,0,,94063
12/24/2013,54,72,0,1,,94063
12/25/2013,52,71,0,0,,94063
12/26/2013,52,74,0,0,,94063
12/27/2013,48,78,0,1,,94063
12/28/2013,50,75,0,0,,94063
12/29/2013,52,49,0,0,,94063
12/30/2013,48,67,0,1,,94063
12/31/2013,48,85,0,3,Fog,94063
1/1/2014,47,82,0,1,,94063
1/2/2014,50,72,0,1,,94063
1/3/2014,48,72,0,1,,94063
1/4/2014,52,76,0,1,Fog,94063
1/5/2014,50,52,0,0,,94063
1/6/2014,49,68,0,2,,94063
1/7/2014,52,76,0,3,,94063
1/8/2014,52,87,0,6,,94063
1/9/2014,52,83,0,4,,94063
1/10/2014,52,82,0,2,,94063
1/11/2014,50,86,0,4,,94063
1/12/2014,50,78,0,2,,94063
1/13/2014,54,57,0,0,,94063
1/14/2014,55,54,0,0,,94063
1/15/2014,56,52,0,0,,94063
1/16/2014,56,55,0,0,,94063
1/17/2014,52,60,0,0,,94063
1/18/2014,52,67,0,0,,94063
1/19/2014,52,61,0,0,,94063
1/20/2014,52,66,0,0,,94063
1/21/2014,54,60,0,1,,94063
1/22/2014,52,64,0,0,,94063
1/23/2014,54,60,0,1,,94063
1/24/2014,50,73,0,3,,94063
1/25/2014,56,55,0,2,,94063
1/26/2014,58,63,0,4,,94063
1/27/2014,52,83,0,4,,94063
1/28/2014,58,86,0,7,,94063
1/29/2014,60,90,0,8,,94063
1/30/2014,55,76,0,7,Rain,94063
1/31/2014,52,70,0,2,,94063
2/1/2014,48,71,0,0,,94063
2/2/2014,47,79,0,5,Rain,94063
2/3/2014,47,80,0,4,,94063
2/4/2014,46,79,0,2,,94063
2/5/2014,47,80,0,5,Rain,94063
2/6/2014,50,92,0.06,8,Rain,94063
2/7/2014,54,87,0,6,Rain,94063
2/8/2014,56,88,0,8,Rain,94063
2/9/2014,58,93,0,8,Rain,94063
2/10/2014,54,88,0,5,,94063
2/11/2014,52,92,0,4,Fog,94063
2/12/2014,52,91,0,4,,94063
2/13/2014,59,94,0,4,Fog,94063
2/14/2014,56,88,0,5,,94063
2/15/2014,54,88,0,4,Rain,94063
2/16/2014,55,75,0,2,Rain,94063
2/17/2014,50,78,0,2,,94063
2/18/2014,54,80,0,2,,94063
2/19/2014,56,76,0,4,,94063
2/20/2014,56,67,0,2,,94063
2/21/2014,58,67,0,1,,94063
2/22/2014,56,77,0,2,,94063
2/23/2014,56,82,0,3,,94063
2/24/2014,58,78,0,0,,94063
2/25/2014,55,79,0,4,,94063
2/26/2014,56,77,0,7,Rain,94063
2/27/2014,60,69,0,7,Rain,94063
2/28/2014,58,84,0.16,7,Rain,94063
8/29/2013,71,71,0,4,,94301
8/30/2013,74,68,0,2,,94301
8/31/2013,69,71,0,0,,94301
9/1/2013,71,65,0,1,,94301
9/2/2013,71,76,T,5,,94301
9/3/2013,70,62,0,0,,94301
9/4/2013,70,65,0,0,,94301
9/5/2013,70,62,0,0,,94301
9/6/2013,73,57,0,0,,94301
9/7/2013,78,50,0,0,,94301
9/8/2013,73,62,0,1,,94301
9/9/2013,73,63,0,0,,94301
9/10/2013,70,70,0,3,,94301
9/11/2013,67,64,0,0,,94301
9/12/2013,67,73,0,4,,94301
9/13/2013,66,73,0,4,,94301
9/14/2013,65,75,0,4,,94301
9/15/2013,68,70,0,4,,94301
9/16/2013,71,66,0,3,,94301
9/17/2013,67,59,0,1,,94301
9/18/2013,69,58,0,0,,94301
9/19/2013,69,57,0,0,,94301
9/20/2013,66,70,0,3,,94301
9/21/2013,64,74,0.49,5,Rain,94301
9/22/2013,63,70,0.01,1,,94301
9/23/2013,68,61,0,0,,94301
9/24/2013,68,59,0,0,,94301
9/25/2013,63,55,0,0,,94301
9/26/2013,65,44,0,0,,94301
9/27/2013,65,45,0,0,,94301
9/28/2013,67,50,0,0,,94301
9/29/2013,66,69,0,0,,94301
9/30/2013,67,71,0,2,,94301
10/1/2013,63,58,0,0,,94301
10/2/2013,64,61,0,0,,94301
10/3/2013,63,43,0,0,,94301
10/4/2013,70,25,0,0,,94301
10/5/2013,68,34,0,0,,94301
10/6/2013,67,40,0,0,,94301
10/7/2013,67,43,0,0,,94301
10/8/2013,62,56,0,0,,94301
10/9/2013,60,58,0,2,,94301
10/10/2013,61,64,0,0,,94301
10/11/2013,57,73,0,0,,94301
10/12/2013,60,71,0,2,,94301
10/13/2013,61,60,0,0,,94301
10/14/2013,63,48,0,0,,94301
10/15/2013,66,40,0,0,,94301
10/16/2013,65,39,0,0,,94301
10/17/2013,66,39,0,0,,94301
10/18/2013,63,56,0,0,,94301
10/19/2013,64,61,0,0,,94301
10/20/2013,61,73,0,4,,94301
10/21/2013,60,76,0,4,,94301
10/22/2013,60,76,0,4,,94301
10/23/2013,59,80,0,5,,94301
10/24/2013,55,77,0,5,,94301
10/25/2013,58,69,0,3,,94301
10/26/2013,61,66,0,0,,94301
10/27/2013,57,71,0.01,5,,94301
10/28/2013,59,63,0,5,,94301
10/29/2013,56,66,0,5,,94301
10/30/2013,56,67,0,0,,94301
10/31/2013,59,60,0,0,,94301
11/1/2013,62,53,0,0,,94301
11/2/2013,57,68,0,0,,94301
11/3/2013,56,55,0,0,,94301
11/4/2013,57,49,0,0,,94301
11/5/2013,61,40,0,0,,94301
11/6/2013,60,46,0,0,,94301
11/7/2013,61,59,0,0,,94301
11/8/2013,59,71,0,3,,94301
11/9/2013,58,67,0,0,,94301
11/10/2013,55,75,0,3,,94301
11/11/2013,59,71,0,3,,94301
11/12/2013,62,60,0,0,,94301
11/13/2013,62,73,0,1,,94301
11/14/2013,56,86,0,4,,94301
11/15/2013,56,62,0,0,,94301
11/16/2013,54,66,0,0,,94301
11/17/2013,53,72,0,0,,94301
11/18/2013,52,74,0,0,,94301
11/19/2013,57,77,0.17,6,Rain,94301
11/20/2013,59,83,0.42,7,Rain,94301
11/21/2013,56,63,T,5,Rain,94301
11/22/2013,59,32,0,0,,94301
11/23/2013,53,50,0,0,,94301
11/24/2013,53,60,0,0,,94301
11/25/2013,53,65,0,0,,94301
11/26/2013,53,68,0,0,,94301
11/27/2013,54,70,0,0,,94301
11/28/2013,57,63,0,0,,94301
11/29/2013,56,62,0,0,,94301
11/30/2013,55,63,0,0,,94301
12/1/2013,54,68,0,0,,94301
12/2/2013,53,75,0,2,,94301
12/3/2013,50,63,0,3,,94301
12/4/2013,44,45,0,0,,94301
12/5/2013,40,46,0,0,,94301
12/6/2013,45,58,0.08,4,Rain,94301
12/7/2013,43,63,0.08,1,,94301
12/8/2013,39,60,0,0,,94301
12/9/2013,40,45,0,0,,94301
12/10/2013,41,57,0,0,,94301
12/11/2013,44,56,0,0,,94301
12/12/2013,46,58,0,0,,94301
12/13/2013,48,65,0,2,,94301
12/14/2013,48,61,0,0,,94301
12/15/2013,48,62,0,0,,94301
12/16/2013,53,57,0,0,,94301
12/17/2013,51,59,0,0,,94301
12/18/2013,51,72,T,0,,94301
12/19/2013,52,64,0,1,,94301
12/20/2013,50,32,0,0,,94301
12/21/2013,49,73,0,0,,94301
12/22/2013,53,64,0,1,Fog,94301
12/23/2013,51,66,0,0,,94301
12/24/2013,56,59,0,0,,94301
12/25/2013,52,61,0,0,,94301
12/26/2013,53,60,0,0,,94301
12/27/2013,49,68,0,0,,94301
12/28/2013,52,60,0,0,,94301
12/29/2013,55,39,0,0,,94301
12/30/2013,50,49,0,0,,94301
12/31/2013,49,80,0,4,Fog,94301
1/1/2014,48,63,0,0,,94301
1/2/2014,53,57,0,0,,94301
1/3/2014,52,55,0,0,,94301
1/4/2014,54,59,0,0,,94301
1/5/2014,51,46,0,0,,94301
1/6/2014,51,58,0,0,,94301
1/7/2014,53,62,0,2,,94301
1/8/2014,53,84,0.01,6,Rain,94301
1/9/2014,54,72,0.01,4,Rain,94301
1/10/2014,53,71,0,2,,94301
1/11/2014,52,80,0,3,,94301
1/12/2014,51,68,0,2,,94301
1/13/2014,57,46,0,0,,94301
1/14/2014,59,40,0,0,,94301
1/15/2014,58,44,0,0,,94301
1/16/2014,57,42,0,0,,94301
1/17/2014,55,50,0,0,,94301
1/18/2014,55,46,0,0,,94301
1/19/2014,53,48,0,0,,94301
1/20/2014,55,48,0,0,,94301
1/21/2014,54,52,0,0,,94301
1/22/2014,57,50,0,0,,94301
1/23/2014,55,54,0,0,,94301
1/24/2014,54,56,0,0,,94301
1/25/2014,59,50,0,0,,94301
1/26/2014,58,58,0,0,,94301
1/27/2014,55,80,0,5,Fog,94301
1/28/2014,57,77,T,4,Rain,94301
1/29/2014,62,82,0.01,5,Rain,94301
1/30/2014,58,65,0.04,5,Rain,94301
1/31/2014,53,55,0.01,2,,94301
2/1/2014,49,54,0,0,,94301
2/2/2014,49,75,0.09,5,Rain,94301
2/3/2014,50,67,0,2,,94301
2/4/2014,47,68,0,0,,94301
2/5/2014,47,66,0.01,4,Rain,94301
2/6/2014,52,82,0.53,8,Rain,94301
2/7/2014,53,79,0.07,6,Rain,94301
2/8/2014,60,77,0.04,7,Rain,94301
2/9/2014,63,71,0.03,7,Rain,94301
2/10/2014,57,83,0.02,6,Rain,94301
2/11/2014,55,81,0,4,Fog,94301
2/12/2014,55,77,0,3,,94301
2/13/2014,60,82,0,3,Fog,94301
2/14/2014,59,80,0,7,,94301
2/15/2014,57,78,0.01,2,Rain,94301
2/16/2014,57,60,0.04,2,Rain,94301
2/17/2014,52,65,0,0,,94301
2/18/2014,54,67,0,0,,94301
2/19/2014,58,69,0.01,3,Rain,94301
2/20/2014,57,56,0,0,,94301
2/21/2014,58,53,0,0,,94301
2/22/2014,58,56,0,0,,94301
2/23/2014,59,69,0,3,,94301
2/24/2014,60,61,0,0,,94301
2/25/2014,56,71,0,2,,94301
2/26/2014,58,80,0.83,7,Rain,94301
2/27/2014,60,66,0.02,3,Rain,94301
2/28/2014,59,73,1.06,7,Rain,94301
8/29/2013,70,72,0,4,,94041
8/30/2013,72,68,0,2,,94041
8/31/2013,68,70,0,0,,94041
9/1/2013,70,67,0,1,,94041
9/2/2013,71,70,0,5,,94041
9/3/2013,69,65,1.71,6,rain,94041
9/4/2013,68,64,0,0,,94041
9/5/2013,68,63,0,0,,94041
9/6/2013,71,57,0,0,,94041
9/7/2013,74,55,0,0,,94041
9/8/2013,70,66,0,1,,94041
9/9/2013,70,68,0,0,,94041
9/10/2013,70,68,0,3,,94041
9/11/2013,66,68,0,0,,94041
9/12/2013,67,71,0,4,,94041
9/13/2013,66,73,0,4,,94041
9/14/2013,64,71,0,4,,94041
9/15/2013,66,69,0,4,,94041
9/16/2013,68,68,0,3,,94041
9/17/2013,65,64,0,1,,94041
9/18/2013,66,62,0,0,,94041
9/19/2013,66,61,0,0,,94041
9/20/2013,65,68,0,3,,94041
9/21/2013,64,74,0.37,5,Rain,94041
9/22/2013,61,70,0,1,,94041
9/23/2013,66,65,0,0,,94041
9/24/2013,65,63,0,0,,94041
9/25/2013,62,58,0,0,,94041
9/26/2013,60,54,0,0,,94041
9/27/2013,61,52,0,0,,94041
9/28/2013,63,56,0,0,,94041
9/29/2013,65,68,0,0,,94041
9/30/2013,66,72,0,2,,94041
10/1/2013,62,62,0,0,,94041
10/2/2013,61,64,0,0,,94041
10/3/2013,60,52,0,0,,94041
10/4/2013,68,34,0,0,,94041
10/5/2013,64,44,0,0,,94041
10/6/2013,64,48,0,0,,94041
10/7/2013,64,48,0,0,,94041
10/8/2013,60,60,0,0,,94041
10/9/2013,58,62,0,2,,94041
10/10/2013,58,63,0,0,,94041
10/11/2013,55,72,0,0,,94041
10/12/2013,57,69,0,2,,94041
10/13/2013,58,63,0,0,,94041
10/14/2013,60,55,0,0,,94041
10/15/2013,61,50,0,0,,94041
10/16/2013,62,48,0,0,,94041
10/17/2013,62,51,0,0,,94041
10/18/2013,60,62,0,0,,94041
10/19/2013,60,65,0,0,,94041
10/20/2013,58,71,0,4,,94041
10/21/2013,58,73,0,4,,94041
10/22/2013,57,75,0,4,,94041
10/23/2013,57,78,0,5,,94041
10/24/2013,55,77,0,5,,94041
10/25/2013,55,74,0,3,,94041
10/26/2013,57,71,0,0,,94041
10/27/2013,55,73,0,5,,94041
10/28/2013,57,65,0,5,,94041
10/29/2013,56,69,0,5,,94041
10/30/2013,53,69,0,0,,94041
10/31/2013,55,66,0,0,,94041
11/1/2013,57,63,0,0,,94041
11/2/2013,54,71,0,0,,94041
11/3/2013,53,61,0,0,,94041
11/4/2013,52,55,0,0,,94041
11/5/2013,56,51,0,0,,94041
11/6/2013,56,56,0,0,,94041
11/7/2013,57,61,0,0,,94041
11/8/2013,56,72,0,3,,94041
11/9/2013,55,70,0,0,,94041
11/10/2013,54,75,0,3,,94041
11/11/2013,58,73,0,3,,94041
11/12/2013,60,67,0,0,,94041
11/13/2013,56,72,0,1,,94041
11/14/2013,56,77,0,4,,94041
11/15/2013,53,69,0,0,,94041
11/16/2013,52,70,0,0,,94041
11/17/2013,51,73,0,0,,94041
11/18/2013,51,74,0,0,,94041
11/19/2013,56,76,0.27,6,Rain,94041
11/20/2013,57,85,0.22,7,Rain,94041
11/21/2013,54,63,0,5,,94041
11/22/2013,52,50,0,0,,94041
11/23/2013,51,59,0,0,,94041
11/24/2013,49,67,0,0,,94041
11/25/2013,49,69,0,0,,94041
11/26/2013,51,70,0,0,,94041
11/27/2013,52,71,0,0,,94041
11/28/2013,54,69,0,0,,94041
11/29/2013,52,68,0,0,,94041
11/30/2013,51,72,0,0,,94041
12/1/2013,51,71,0,0,,94041
12/2/2013,50,77,0,2,,94041
12/3/2013,50,65,0,3,,94041
12/4/2013,41,59,0,0,,94041
12/5/2013,38,55,0,0,,94041
12/6/2013,44,63,0.08,4,Rain,94041
12/7/2013,45,62,0.08,3,Rain,94041
12/8/2013,38,59,0,0,,94041
12/9/2013,38,52,0,0,,94041
12/10/2013,38,62,0,0,,94041
12/11/2013,42,61,0,0,,94041
12/12/2013,42,63,0,0,,94041
12/13/2013,44,67,0,2,,94041
12/14/2013,45,65,0,0,,94041
12/15/2013,45,66,0,0,,94041
12/16/2013,48,63,0,0,,94041
12/17/2013,50,63,0,0,,94041
12/18/2013,50,72,0,0,,94041
12/19/2013,48,64,0,1,,94041
12/20/2013,46,47,0,0,,94041
12/21/2013,47,66,0,0,,94041
12/22/2013,50,65,0,1,,94041
12/23/2013,48,67,0,0,,94041
12/24/2013,50,65,0,0,,94041
12/25/2013,48,66,0,0,,94041
12/26/2013,49,66,0,0,,94041
12/27/2013,46,69,0,0,,94041
12/28/2013,47,62,0,0,,94041
12/29/2013,49,52,0,0,,94041
12/30/2013,47,59,0,0,,94041
12/31/2013,46,70,0,4,Fog,94041
1/1/2014,46,69,0,0,,94041
1/2/2014,48,64,0,0,,94041
1/3/2014,49,65,0,0,,94041
1/4/2014,49,63,0,0,,94041
1/5/2014,47,55,0,0,,94041
1/6/2014,48,64,0,0,,94041
1/7/2014,50,68,0,2,,94041
1/8/2014,52,77,0,3,,94041
1/9/2014,50,76,0,3,,94041
1/10/2014,49,74,0,2,,94041
1/11/2014,49,77,0,3,,94041
1/12/2014,48,71,0,2,,94041
1/13/2014,51,59,0,0,,94041
1/14/2014,54,49,0,0,,94041
1/15/2014,52,51,0,0,,94041
1/16/2014,52,53,0,0,,94041
1/17/2014,50,58,0,0,,94041
1/18/2014,49,57,0,0,,94041
1/19/2014,48,58,0,0,,94041
1/20/2014,50,57,0,0,,94041
1/21/2014,49,57,0,0,,94041
1/22/2014,50,56,0,0,,94041
1/23/2014,51,55,0,0,,94041
1/24/2014,50,61,0,0,,94041
1/25/2014,54,57,0,0,,94041
1/26/2014,54,59,0,0,,94041
1/27/2014,53,74,0,3,,94041
1/28/2014,57,76,0,4,,94041
1/29/2014,60,80,0,3,,94041
1/30/2014,56,70,0.04,5,Rain,94041
1/31/2014,51,63,0,2,,94041
2/1/2014,47,61,0,0,,94041
2/2/2014,48,71,0.08,5,Rain,94041
